Child,Parent
Ammonia Control (1001),Ammonia
Compressors/Condensers (1002),Ammonia
Detection & Safety (1003),Ammonia
Antibiotics Feed/Water (1101),Bird & Animal Health
Bacterins (1102),Bird & Animal Health
Coccidial Agents (1103),Bird & Animal Health
Disease Prevention (1104),Bird & Animal Health
Drinking Water Treatments/Processes (1105),Bird & Animal Health
Litter Treatment/Amendments (1106),Bird & Animal Health
Probiotics/Gut Health (1107),Bird & Animal Health
Vaccination Supplies (1108),Bird & Animal Health
Vaccines (1109),Bird & Animal Health
Alarms and Monitoring (1201),Bird Production & Housing
Aviary Systems (1202),Bird Production & Housing
Batteries Brooding/Rearing/Feeding (1203),Bird Production & Housing
Beak Trimmers (1204),Bird Production & Housing
Brooders/Heaters (1205),Bird Production & Housing
Cage Systems (1206),Bird Production & Housing
Catching Equipment (1207),Bird Production & Housing
Curtains/Wall Materials (1208),Bird Production & Housing
Drinker Systems (1209),Bird Production & Housing
Fans (1210),Bird Production & Housing
Feeding Systems (1211),Bird Production & Housing
Fencing - Migration (1212),Bird Production & Housing
Insulation (1213),Bird Production & Housing
Lighting Systems/Bulbs (1214),Bird Production & Housing
Litter/Manure Handling Equipment & Supplies (1215),Bird Production & Housing
Live Haul Cages (1216),Bird Production & Housing
Mortality Handling - Composting/Incinerators (1217),Bird Production & Housing
Nest Pads/Materials/Shavings (1218),Bird Production & Housing
Nests (1219),Bird Production & Housing
Pest Control Insects/Flies (1220),Bird Production & Housing
Pest Control Rodents (1221),Bird Production & Housing
Ventilation Systems & Equipment (1222),Bird Production & Housing
Alarms (1301),Buildings & Supplies
Coatings - Industrial Floor & Wall (1307),Buildings & Supplies
Construction Services (1302),Buildings & Supplies
Doors (1303),Buildings & Supplies
Dust Control (1304),Buildings & Supplies
Fencing (1308),Buildings & Supplies
Flooring & Resurfacing (1309),Buildings & Supplies
Industrial Buildings/Supplies (1305),Buildings & Supplies
Industrial Lighting Systems/Bulbs (1310),Buildings & Supplies
Roofing Materials/Supplies (1306),Buildings & Supplies
Boot Sanitizing Systems (1401),Cleaning & Sanitation
Brooms/Brushes (1402),Cleaning & Sanitation
Cleaning Equipment (1403),Cleaning & Sanitation
Cleaning Supplies (1404),Cleaning & Sanitation
Cleaning/Sanitizing Manual & COP (1405),Cleaning & Sanitation
Cleaning/Sanitizing Mechanical & CIP (1406),Cleaning & Sanitation
Detergent Dispensing Systems (1407),Cleaning & Sanitation
Disinfectants (1408),Cleaning & Sanitation
Drain/Sewer Cleaning Compounds (1409),Cleaning & Sanitation
Mold Inhibitors (1410),Cleaning & Sanitation
Pressure Cleaning Equipment (1411),Cleaning & Sanitation
Sanitation Equipment (1412),Cleaning & Sanitation
Waste Disposal Equipment (1413),Cleaning & Sanitation
Air Conditioning (1514),Climate Control
Air Quality Equipment (1501),Climate Control
Cold Storage Doors & Hardware (1502),Climate Control
Cold Storage Warehousing (1503),Climate Control
Cooling Systems (1504),Climate Control
Curtains (1505),Climate Control
Dehumidification Systems (1506),Climate Control
Fans (1515),Climate Control
Foggers (1507),Climate Control
Freezers (1508),Climate Control
Heat Recovery (1516),Climate Control
Heaters - Space/Portable/Gas/Oil (1509),Climate Control
Humidifiers/Humidistats (1510),Climate Control
Refrigeration (1511),Climate Control
Temperature Controls/Recorders (1512),Climate Control
Thermostats (1517),Climate Control
Ventilation Systems/Equipment (1513),Climate Control
Apparel (1601),Clothing & Accessories
Aprons/Smocks (1602),Clothing & Accessories
Bio Security Equipment (1603),Clothing & Accessories
Boots & Protective Footwear (1604),Clothing & Accessories
Gloves (1605),Clothing & Accessories
Personal Protective Equipment (PPE) (1606),Clothing & Accessories
Uniforms (1607),Clothing & Accessories
Baskets/Belts (1701),Egg Handling/Equipment
Carton Packing Equipment (1702),Egg Handling/Equipment
Cartons/Cases (1703),Egg Handling/Equipment
Carts (1704),Egg Handling/Equipment
Cleaning/Washing Equipment (1705),Egg Handling/Equipment
Conveyors/Belts (1706),Egg Handling/Equipment
Cooling Equipment (1707),Egg Handling/Equipment
Graders (1708),Egg Handling/Equipment
Packing Equipment (1709),Egg Handling/Equipment
Chillers - Liquid Egg (1801),Egg Processing
Chilling Systems (1802),Egg Processing
Egg Breaking & Separating Machinery (1803),Egg Processing
Further Process Equipment (1804),Egg Processing
Packaging Equipment (1805),Egg Processing
Biofuels/Biomass (3601),Energy - Renewable & Alternative
Geothermal (3602),Energy - Renewable & Alternative
Hydro (3603),Energy - Renewable & Alternative
Solar (3604),Energy - Renewable & Alternative
Wind (3605),Energy - Renewable & Alternative
Air Blowers/Mixers (1901),Environmental & Water Treatment
Chemicals for Treatment (1902),Environmental & Water Treatment
Data Logging Services/Equipment (1903),Environmental & Water Treatment
Dissolved Air Flotation Equipment (1904),Environmental & Water Treatment
Engineering Consultant (1905),Environmental & Water Treatment
Environmental Consultant (1906),Environmental & Water Treatment
Equipment Manufacturing & Fabrication (1907),Environmental & Water Treatment
Instrumentation & Controls (1908),Environmental & Water Treatment
Monitoring & Metering Equipment (1909),Environmental & Water Treatment
Pump & Pipe Manufacturers (1910),Environmental & Water Treatment
Screening Equipment (1911),Environmental & Water Treatment
Solids Handling & Disposal (1912),Environmental & Water Treatment
Storage Tanks (1913),Environmental & Water Treatment
Sustainability (1914),Environmental & Water Treatment
Wastewater Treatment (1915),Environmental & Water Treatment
Water Testing Equipment and Services (1916),Environmental & Water Treatment
Amino Acids (2001),Feed Additives & Ingredients
Animal By-Products (2002),Feed Additives & Ingredients
Antioxidant Feed Ingredients (2003),Feed Additives & Ingredients
Calcium (2004),Feed Additives & Ingredients
Enzymes (2005),Feed Additives & Ingredients
Ethanol Coproducts & Distillers Grains (2006),Feed Additives & Ingredients
Fats (2007),Feed Additives & Ingredients
Feed Complete (2008),Feed Additives & Ingredients
Feed Concentrates (2009),Feed Additives & Ingredients
Feed Formulation Software (2010),Feed Additives & Ingredients
Fish Products (2011),Feed Additives & Ingredients
Flavors (2012),Feed Additives & Ingredients
Grains (2013),Feed Additives & Ingredients
Macro-Minerals (2014),Feed Additives & Ingredients
Micro-Trace Minerals (2015),Feed Additives & Ingredients
Molasses (2016),Feed Additives & Ingredients
Mold Inhibitors (2017),Feed Additives & Ingredients
Mycotoxins (2018),Feed Additives & Ingredients
Nutritional Supplements (2019),Feed Additives & Ingredients
Organic Products (2020),Feed Additives & Ingredients
Premixes (2021),Feed Additives & Ingredients
Probiotics (2022),Feed Additives & Ingredients
Protein Products (2023),Feed Additives & Ingredients
Soybean Products (2024),Feed Additives & Ingredients
Vitamins (2025),Feed Additives & Ingredients
Batching Systems - Micro (2101),Feed Equipment & Supplies
Bucket Elevators & Equipment (2102),Feed Equipment & Supplies
Bulk Tanks (2103),Feed Equipment & Supplies
Control Systems (2104),Feed Equipment & Supplies
Conveyors/Belts (2105),Feed Equipment & Supplies
Feed Bagging Equipment & Supplies (2106),Feed Equipment & Supplies
Feed Bins & Tanks/Bulk (2107),Feed Equipment & Supplies
Feed Storage (2108),Feed Equipment & Supplies
Feed Trucks & Carts (2109),Feed Equipment & Supplies
Grain Bins (2110),Feed Equipment & Supplies
Grinders/Mixers/Coolers (2111),Feed Equipment & Supplies
Hammermills (2112),Feed Equipment & Supplies
Liquid Feed Equipment (2113),Feed Equipment & Supplies
Micro-Ingredient Dispensers (2114),Feed Equipment & Supplies
Millwright (2115),Feed Equipment & Supplies
Mixers (2116),Feed Equipment & Supplies
Pelleting Equipment (2117),Feed Equipment & Supplies
Pelleting/Conditioning Equipment & Supplies (2118),Feed Equipment & Supplies
Pet Food Equipment (2119),Feed Equipment & Supplies
Process Controls (2120),Feed Equipment & Supplies
Roller Mills/Expanders (2121),Feed Equipment & Supplies
Scales/Weighing (2122),Feed Equipment & Supplies
Screeners/Separators (2123),Feed Equipment & Supplies
Aquaculture (2201),Feed Types
Beef (2202),Feed Types
Dairy Cattle (2203),Feed Types
Equine (2204),Feed Types
Pet Food (2205),Feed Types
Poultry (2206),Feed Types
Swine (2207),Feed Types
Anticaking Agent (2301),Food Ingredients
Antimicrobial Ingredients (2302),Food Ingredients
Antioxidants (2303),Food Ingredients
Batter Mixes/Related Equipment (2304),Food Ingredients
Binders & Extenders (2305),Food Ingredients
Colors & Coloring Agents (2306),Food Ingredients
Curing & Pickling Agents (2307),Food Ingredients
Emulsifiers/Stabilizers/Gums (2308),Food Ingredients
Enzymes (2309),Food Ingredients
Extracts (2310),Food Ingredients
Fat Replacers (2311),Food Ingredients
Fats & Oils (2312),Food Ingredients
Firming Agents (2313),Food Ingredients
Flavors/Seasoning (2314),Food Ingredients
Food Acids (2315),Food Ingredients
Gums (2316),Food Ingredients
Vitamins/Minerals (2317),Food Ingredients
Air Analysis (2401),Food Safety & Pathogen Control
Analytical Equipment (2402),Food Safety & Pathogen Control
Analytical Laboratory (2403),Food Safety & Pathogen Control
Food Antimicrobials (2404),Food Safety & Pathogen Control
Hand Sanitizers (2405),Food Safety & Pathogen Control
Hand Washing Systems (2406),Food Safety & Pathogen Control
Hygienic Monitors (2407),Food Safety & Pathogen Control
Intervention Methods (2408),Food Safety & Pathogen Control
Irradiation Systems (2409),Food Safety & Pathogen Control
Lab Equipment (2410),Food Safety & Pathogen Control
Microbiological Analysis (2411),Food Safety & Pathogen Control
Ozone Systems (2412),Food Safety & Pathogen Control
Pasteurization Systems (2413),Food Safety & Pathogen Control
Pathogen Testing Equipment (2414),Food Safety & Pathogen Control
Quality Control Instruments (2415),Food Safety & Pathogen Control
UV Systems (2416),Food Safety & Pathogen Control
X-Ray and Foreign Material Detection (2417),Food Safety & Pathogen Control
Broiler Breeders (2501),Genetics & Breeding
Broiler Hatching Eggs (2502),Genetics & Breeding
Cattle - Beef (2503),Genetics & Breeding
Cattle - Dairy (2504),Genetics & Breeding
Commercial Egg Layers (2505),Genetics & Breeding
Ducks (2506),Genetics & Breeding
Pigs (2507),Genetics & Breeding
Technology (2508),Genetics & Breeding
Turkey (2509),Genetics & Breeding
Hatchery Design & Construction (2601),Hatchery & Incubation
Hatchery Sanitation & Disinfectants (2602),Hatchery & Incubation
Hatchery Supplies (2603),Hatchery & Incubation
Incubation Equipment (2604),Hatchery & Incubation
Measuring Tools & Devices (2605),Hatchery & Incubation
Temperature & Humidity Controls (2606),Hatchery & Incubation
Artificial Intelligence (2736),Meat & Poultry 1st & 2nd Processing
Blood Trough (2701),Meat & Poultry 1st & 2nd Processing
Bone Chips & Cartilage Removal (2702),Meat & Poultry 1st & 2nd Processing
Carcass Cleaning (2703),Meat & Poultry 1st & 2nd Processing
Carcass Opening & Splitting Saws (2704),Meat & Poultry 1st & 2nd Processing
Chillers (2705),Meat & Poultry 1st & 2nd Processing
Chlorinators (2706),Meat & Poultry 1st & 2nd Processing
Conveyors/Belts (2707),Meat & Poultry 1st & 2nd Processing
Conveyors/Vibratory (2737),Meat & Poultry 1st & 2nd Processing
Cooling Systems (2708),Meat & Poultry 1st & 2nd Processing
Cutter/Saw Equipment (2709),Meat & Poultry 1st & 2nd Processing
Cut-Up Equipment (2710),Meat & Poultry 1st & 2nd Processing
Deboning Cones/Tables (2711),Meat & Poultry 1st & 2nd Processing
Deboning Equipment (2712),Meat & Poultry 1st & 2nd Processing
Dehairing Machines & Equipment (2713),Meat & Poultry 1st & 2nd Processing
Deodorizing Equipment (2714),Meat & Poultry 1st & 2nd Processing
Deskinning Equipment (2715),Meat & Poultry 1st & 2nd Processing
"Elevators, Loaders, Lifters & Dumpers (2716)",Meat & Poultry 1st & 2nd Processing
Eviscerating Equipment (2717),Meat & Poultry 1st & 2nd Processing
Feather Removal (2718),Meat & Poultry 1st & 2nd Processing
Giblet Harvesting (2719),Meat & Poultry 1st & 2nd Processing
Gizzard (2720),Meat & Poultry 1st & 2nd Processing
Grading/Grading Technology (2721),Meat & Poultry 1st & 2nd Processing
Hide Pulling Devices (2722),Meat & Poultry 1st & 2nd Processing
Hock Equipment (2723),Meat & Poultry 1st & 2nd Processing
Hooks (2724),Meat & Poultry 1st & 2nd Processing
Knives/Scissors/Sharpeners (2725),Meat & Poultry 1st & 2nd Processing
Meat Bone Separators (2726),Meat & Poultry 1st & 2nd Processing
Picker Fingers (2727),Meat & Poultry 1st & 2nd Processing
Robotics (2728),Meat & Poultry 1st & 2nd Processing
Saws/Blades (2729),Meat & Poultry 1st & 2nd Processing
Scalders & Supplies (2730),Meat & Poultry 1st & 2nd Processing
Scales/Weighing (2731),Meat & Poultry 1st & 2nd Processing
Sharpening Systems (2732),Meat & Poultry 1st & 2nd Processing
Stunning/Cabinets (2733),Meat & Poultry 1st & 2nd Processing
Temperature Monitoring (2734),Meat & Poultry 1st & 2nd Processing
Weight/Portion Control Systems (2735),Meat & Poultry 1st & 2nd Processing
Artificial Intelligence (2822),Meat & Poultry Further Processing
Bacon Processing Equipment & Accessories (2801),Meat & Poultry Further Processing
Battering Machinery (2802),Meat & Poultry Further Processing
Breading/Coating Machinery (2818),Meat & Poultry Further Processing
Brine Systems (2803),Meat & Poultry Further Processing
Choppers (2804),Meat & Poultry Further Processing
Conveyors/Belts (2805),Meat & Poultry Further Processing
Conveyors/Vibratory (2819),Meat & Poultry Further Processing
Cooking Equipment/Steam/Fry/Broil (2806),Meat & Poultry Further Processing
Dicing (2807),Meat & Poultry Further Processing
Freeze Drying Equipment & Supplies (2821),Meat & Poultry Further Processing
Frozen Meat Slicers/Flakers/Breakers (2808),Meat & Poultry Further Processing
Grinders - Meat & Bone (2809),Meat & Poultry Further Processing
Ham Production Equipment/Accessories (2810),Meat & Poultry Further Processing
Injectors & Injector Needles (2820),Meat & Poultry Further Processing
Marinades & Equipment (2811),Meat & Poultry Further Processing
Sausage Casings (2812),Meat & Poultry Further Processing
Sausage Equipment (2813),Meat & Poultry Further Processing
Sausage Smoking/Cooking (2814),Meat & Poultry Further Processing
Scales/Weighing (2815),Meat & Poultry Further Processing
Slicing (2816),Meat & Poultry Further Processing
Tempering/Thawing/Defrosting Equipment (2817),Meat & Poultry Further Processing
Adhesives (2901),Meat & Poultry Packaging
Aseptic Packaging/Processing Equipment (2902),Meat & Poultry Packaging
Bag Clipping Equipment/Supplies (2903),Meat & Poultry Packaging
Bagging Equipment & Supplies (2904),Meat & Poultry Packaging
Bags - Feed/Pet Food (2906),Meat & Poultry Packaging
Bags (2905),Meat & Poultry Packaging
Bags Cook-in Oven/Microwave (2907),Meat & Poultry Packaging
Bar Coding (2908),Meat & Poultry Packaging
Boxes (2909),Meat & Poultry Packaging
Canning (2910),Meat & Poultry Packaging
Case & Carton Loading (2911),Meat & Poultry Packaging
Case Packer/Stacker/Unstacker (2912),Meat & Poultry Packaging
Cases (2913),Meat & Poultry Packaging
Coding Equipment (2914),Meat & Poultry Packaging
Conveyors/Belts (2915),Meat & Poultry Packaging
Corrugated Shipping Containers (2916),Meat & Poultry Packaging
Crates (2917),Meat & Poultry Packaging
Film Pouches (2918),Meat & Poultry Packaging
Films (2919),Meat & Poultry Packaging
Flexible Packaging (2920),Meat & Poultry Packaging
Form/Fill/Seal Equipment (2921),Meat & Poultry Packaging
Forming Machines (2922),Meat & Poultry Packaging
Gas Packaging Materials (2923),Meat & Poultry Packaging
Ice Equipment (2924),Meat & Poultry Packaging
Inks/Printing (2926),Meat & Poultry Packaging
Label Dispensers (2927),Meat & Poultry Packaging
Labels/Labeling Equipment (2928),Meat & Poultry Packaging
Lidding Machines (2929),Meat & Poultry Packaging
Packaging Equipment (2930),Meat & Poultry Packaging
Packaging Materials - Other (2931),Meat & Poultry Packaging
Palletizing/Depalletizing (2932),Meat & Poultry Packaging
Patty Machines (2933),Meat & Poultry Packaging
Portion Control (2934),Meat & Poultry Packaging
Pouch Packaging Equipment (2935),Meat & Poultry Packaging
Robotics (2936),Meat & Poultry Packaging
Scales/Weighing (2938),Meat & Poultry Packaging
Sealing & Strapping Equipment (2937),Meat & Poultry Packaging
Semi-Rigid Packages (2939),Meat & Poultry Packaging
Strapping/Tying Machines (2940),Meat & Poultry Packaging
Stretch Wrapping Equipment (2941),Meat & Poultry Packaging
Trays/Packages/Packaging Materials (2942),Meat & Poultry Packaging
Vacuum Packaging Equipment (2943),Meat & Poultry Packaging
Vacuum Packaging Materials (2944),Meat & Poultry Packaging
Waxed & Coated Paper/Dividers (2945),Meat & Poultry Packaging
Batch Rendering Systems (3001),Meat & Poultry Rendering
By-Product Processing (3002),Meat & Poultry Rendering
Conveyors/Belts (3003),Meat & Poultry Rendering
