id,company_id,company_name,company_industry,type,title,summary,source_url,source_name,content_status,priority,sentiment,created_at
932,1035,"buhlergroup.com","Baking & Milling","partnership","Bühler Industries (Bühler brand coverage) announces amalgamation/going-private agreement","Reports indicate Bühler Industries (manufacturer of Versatile and Farm King) reached an amalgamation agreement with majority owner ASKO/Newco to take the Canadian-listed company private to enable faster investment decisions for factory modernization and new product development; management said the move supports capacity expansion and product launches while preserving dealer networks[1]. This concerns the affiliated Bühler Industries business rather than the Swiss Bühler Group corporate entity and is primarily a corporate-structure/ownership transaction reported in the agricultural-equipment press[1].","https://www.greenqueen.com.hk/the-cultured-hub-plant-cell-culture-based-cocoa-coffee-chocolate/","greenqueen.com.hk","published","medium","neutral",2025-12-27T23:55:25.775Z
931,1035,"buhlergroup.com","Baking & Milling","news","Bühler will not pass full 39% tariff to customers, uses supply-chain measures to mitigate cost","Bühler stated it will absorb a portion of a 39% tariff rather than pass the full cost to customers and will utilize supply-chain strategies to mitigate the impact, signaling efforts to protect customers from abrupt price increases amid trade-cost pressures[4]. This is an operational/market-impact update on pricing strategy rather than new financing or regulatory change by authorities[4].","https://www.grainjournal.com/article/1111732/b%C3%BChler-will-not-pass-on-full-39-tariff-to-customers-utilizing-supply-chain-to-mitigate-cost","grainjournal.com","published","medium","neutral",2025-12-27T23:55:22.642Z
930,1035,"buhlergroup.com","Baking & Milling","news","Bühler Southern Africa reports strong 2025 performance on innovation and local investment","Bühler Southern Africa published a year-end report noting solid momentum in 2025 despite global volatility, highlighting investments in local capability and innovation that supported business resilience and customer projects[2]. The item is positioned as corporate-year performance/news rather than a financial filing with new funding details[2].","https://www.foodbev.com/news/the-cultured-hub-expands-into-plant-cell-culturing-capabilities","foodbev.com","published","medium","positive",2025-12-27T23:55:19.507Z
929,1035,"buhlergroup.com","Baking & Milling","executive_change","Bühler appoints Mike Häfeli as CEO of Grains & Food (effective end of 2025)","Bühler Group announced that Mike Häfeli will become CEO of its Grains & Food division as Johannes Wick steps down after a decade and transitions to a new role at the company; the release frames this as a planned leadership succession to continue strategic momentum into 2026[7]. The appointment is presented as an internal leadership change with continuity emphasis rather than an abrupt replacement[7].","https://moz-agri.com/buhler-closes-2025-strong-on-innovation-and-local-investment/","moz-agri.com","published","medium","neutral",2025-12-27T23:55:13.686Z
928,1035,"buhlergroup.com","Baking & Milling","product_launch","The Cultured Hub expands into plant cell culturing capabilities","The Cultured Hub — a joint venture including Bühler, Migros and Givaudan — announced an expansion of its service offering to include plant cell culturing capabilities to support scaling of plant-cell–derived ingredients such as cocoa and coffee; Bühler highlighted the move as addressing supply resilience and enabling access to advanced bioprocess equipment and expertise for innovators in plant cell-based production[6][3]. The announcement notes technical and cost challenges remain (sterile bioreactors, energy-intensive environments), and frames the expansion as a neutral platform to help scale lab results toward industrial adoption[6][3].","https://www.farm-equipment.com/articles/23620-buhler-announces-going-private-agreement","farm-equipment.com","published","high","positive",2025-12-27T23:55:09.899Z
927,2034,"Waste treatment","Baking & Milling","partnership","Maryland Landfill Selects Waga Energy for Renewable Natural Gas Production","A Maryland landfill has chosen Waga Energy to produce renewable natural gas, advancing waste-to-energy initiatives.[1]","https://www.who.int/news/item/16-12-2025-who-highlights-health-risks-and-opportunities-in-the-global-waste-crisis","who.int","published","medium","positive",2025-12-27T23:53:11.972Z
926,2034,"Waste treatment","Baking & Milling","news","Colorado Approves Updated Rules to Reduce Landfill Methane Emissions","Colorado has approved new rules aimed at reducing methane emissions from landfills, representing a key regulatory development in waste management.[1]","https://www.epa.gov/newsreleases/epa-reaches-settlement-agreement-mass-metal-plating-company-hazardous-waste-violations","epa.gov","published","medium","positive",2025-12-27T23:53:09.357Z
925,2034,"Waste treatment","Baking & Milling","funding","Kansas City to Receive $5M EPA Grant","Kansas City, Missouri, is set to receive a $5 million grant from the EPA, as noted in recent industry updates, supporting waste management initiatives.[1]","https://resource-recycling.com/recycling/2025/12/01/policy-now-december-2025-year-end-nears-policy-talks-continue/","resource-recycling.com","published","medium","positive",2025-12-27T23:53:06.120Z
924,2034,"Waste treatment","Baking & Milling","news","EPA Settles with CIL Electroplating for Hazardous Waste Violations","The EPA reached a settlement on December 19, 2025, with CIL Electroplating in Massachusetts over RCRA violations including improper hazardous waste container storage, labeling, and training. The company will pay a $136,383 civil penalty and has certified return to compliance.[6]","https://www.wastedive.com/news/by-the-numbers-how-waste-and-recycling-changed-in-2025/808612/","wastedive.com","published","medium","negative",2025-12-27T23:53:02.752Z
923,2034,"Waste treatment","Baking & Milling","partnership","Circular Services Acquires Atlas Organics from Generate Upcycle","Circular Services bought Atlas Organics on November 6, 2025, nearly four years after Generate Upcycle's parent acquired a majority stake, aiming to grow operations within its existing footprint in the organics composting sector.[2]","https://www.waste360.com/industry-insights","waste360.com","published","medium","positive",2025-12-27T23:52:58.873Z
