id,name,website,industry,description,logo_url,location,region,country,size,founded,tags,product_types,rss_feed_url,linkedin_url,twitter_handle,is_active,created_at,updated_at
1,Stripe,https://stripe.com,Fintech,Financial infrastructure platform for the internet,,"San Francisco, CA",,,5001-10000,2010,"[""payments"",""fintech"",""infrastructure""]",,,https://linkedin.com/company/stripe,stripe,true,2025-12-26T16:41:01.027Z,2025-12-26T16:41:01.027Z
2,OpenAI,https://openai.com,AI/ML,AI research and deployment company,,"San Francisco, CA",,,1001-5000,2015,"[""artificial-intelligence"",""research"",""llm""]",,,https://linkedin.com/company/openai,OpenAI,true,2025-12-26T16:41:01.038Z,2025-12-26T16:41:01.038Z
3,Databricks,https://databricks.com,Cloud,Unified analytics platform for data engineering and data science,,"San Francisco, CA",,,5001-10000,2013,"[""data"",""analytics"",""cloud""]",,,https://linkedin.com/company/databricks,datababorricks,true,2025-12-26T16:41:01.042Z,2025-12-26T16:41:01.042Z
4,Figma,https://figma.com,SaaS,Collaborative interface design tool,,"San Francisco, CA",,,1001-5000,2012,"[""design"",""collaboration"",""saas""]",,,https://linkedin.com/company/figma,figma,true,2025-12-26T16:41:01.046Z,2025-12-26T16:41:01.046Z
5,Anthropic,https://anthropic.com,AI/ML,AI safety research company,,"San Francisco, CA",,,201-500,2021,"[""artificial-intelligence"",""safety"",""research""]",,,https://linkedin.com/company/anthropic,AnthropicAI,true,2025-12-26T16:41:01.049Z,2025-12-26T16:41:01.049Z
6,Notion,https://notion.so,SaaS,"All-in-one workspace for notes, docs, and collaboration",,"San Francisco, CA",,,501-1000,2016,"[""productivity"",""collaboration"",""notes""]",,,https://linkedin.com/company/notionhq,NotionHQ,true,2025-12-26T16:41:01.052Z,2025-12-26T16:41:01.052Z
7,Snowflake,https://snowflake.com,Cloud,Cloud-based data warehousing company,,"Bozeman, MT",,,5001-10000,2012,"[""data"",""cloud"",""warehouse""]",,,https://linkedin.com/company/snowflake-computing,SnowflakeDB,true,2025-12-26T16:41:01.056Z,2025-12-26T16:41:01.056Z
8,Plaid,https://plaid.com,Fintech,Financial data network powering digital finance,,"San Francisco, CA",,,1001-5000,2013,"[""fintech"",""api"",""banking""]",,,https://linkedin.com/company/plaid,Plaid,true,2025-12-26T16:41:01.060Z,2025-12-26T16:41:01.060Z
9,Tyson Foods,https://www.tysonfoods.com,Poultry,Major U.S. poultry producer specializing in broilers and turkeys,,"Springdale, AR",,,10000+,1935,"[""poultry"",""broilers"",""turkeys"",""food-processing""]",,https://www.tysonfoods.com/news/news-releases,,,true,2025-12-26T16:56:33.527Z,2025-12-26T16:56:33.527Z
10,Pilgrim's Pride,https://www.pilgrims.com,Poultry,Leading chicken producer in the United States,,"Greeley, CO",,,5001-10000,1946,"[""poultry"",""broilers"",""chicken""]",,https://ir.pilgrims.com/news-events/presentations,,,true,2025-12-26T16:56:37.150Z,2025-12-26T16:56:37.150Z
